ASV,01A-CR,01B-CR,01C-CR,02A-CR,02B-CR,02C-CR,03A,03B,03C,04A,04B,04C,05A,05B,05C,06A,06B,06C,07A,07B,07C,08A,08B,08C,09A,09B,09C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C
61f5bc6f2853fb043d7f7188c759f45e,0,0,0,0,115,0,0,0,0,0,0,0,0,98,1034,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,0
143bd79fb55dc9d55468dbce0e7bf16d,0,0,0,0,21,0,0,64,35,0,22,0,0,306,1628,0,0,29,0,58,407,0,223,0,0,92,0,0,38,31,0,1118,62,0,208,0,0,73,33,0,0,0
aff3337afbcb0ac579a7e062d2bc7d0c,0,0,0,0,0,0,0,143,0,0,22,0,0,207,2160,0,16,0,0,12,564,0,248,103,0,68,0,0,71,0,0,183,0,0,349,0,0,53,50,0,0,0
24a75eb3fcb9028de9c23482de0618c4,0,19,0,0,36,0,401,190,31,114,28,0,714,83,448,105,19,46,213,0,107,107,142,0,143,44,0,85,30,57,8,26,0,101,103,0,196,63,0,210,110,0
45150e62db19c1e4ce2006d158ddf3ca,0,0,0,0,0,0,0,258,0,0,26,0,0,226,1287,0,27,308,0,47,167,0,688,137,0,40,62,0,24,0,0,363,8,0,154,0,0,157,0,0,0,0
ea38caa1142b7e4595b9c08673f21adb,84,82,121,0,0,0,0,37,5,0,43,27,36,13,0,0,15,0,0,0,0,17,0,74,75,49,52,102,0,37,21,53,0,1304,36,767,0,324,511,0,9,0
ede54b6542daa09206ce3866dd82cb53,0,0,0,91,12,0,0,1960,389,0,93,0,0,283,114,0,140,140,71,308,54,0,69,35,0,49,0,0,0,17,0,24,0,0,31,0,0,14,0,0,0,0
bac2d415353889802ecc9c5c3b9df551,0,0,0,0,20,0,0,965,32,0,0,0,0,183,2254,0,27,38,0,0,24,0,122,0,0,0,0,0,23,0,0,0,0,0,110,0,0,62,0,0,0,0
64a319501194cfcf93a313e5af15534e,0,0,0,0,0,0,515,391,0,0,0,0,174,71,736,375,64,52,7,0,191,0,0,0,85,0,0,83,0,24,0,0,0,429,220,85,0,0,0,233,67,14
43494e04989e3ae27df4840851cd2d2d,87,135,152,360,35,387,164,72,68,0,0,0,26,47,83,207,0,62,46,99,18,453,70,46,63,23,0,98,0,27,21,0,12,154,46,102,22,106,99,275,0,126
ba92857afe67e97006add68b9844588e,0,0,0,0,0,0,0,1102,39,0,0,0,0,151,1993,0,0,0,0,15,287,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f1595f544880394a01322122243aaea,0,0,0,0,30,0,0,0,0,0,0,0,0,31,190,0,0,19,0,91,339,0,402,0,0,282,13,0,116,71,0,536,11,0,1025,92,0,369,0,0,0,0
410475054f157cc9ec0a7df8fa4b84f3,0,0,0,0,0,0,424,136,0,0,0,0,102,15,971,110,28,36,0,0,483,0,0,0,85,20,0,133,21,18,0,0,0,410,97,29,0,0,0,409,41,0
61ce4c7d82c56a923e1aef3003b64711,0,0,0,82,60,0,364,0,0,88,36,0,703,77,589,171,32,0,376,42,96,0,209,0,151,0,0,75,31,0,14,40,0,64,97,0,49,113,0,0,0,0
febebb380de25b53224d1db1902402da,10,0,0,0,0,0,108,55,9,65,24,0,1131,74,755,163,0,13,164,47,28,103,138,0,69,47,0,28,9,20,0,55,0,65,76,46,0,10,41,63,0,0
6cc4249d88058207c8b7c4e9105ea2a3,0,0,0,0,0,0,0,831,46,0,82,0,0,176,1443,0,55,104,0,48,230,0,78,0,0,26,0,0,0,0,0,60,0,0,161,0,0,58,17,0,0,0
285a416af73ef50c944060d2e4f28ade,0,320,0,0,694,160,0,872,0,0,29,0,0,109,866,0,0,0,0,81,123,0,65,0,0,34,0,0,0,12,0,24,0,0,14,0,0,0,0,0,0,0
